,Name,Location,Magnitude,URL
1040,"M 3.8 - 85 km NNE of Cruz Bay, U.S. Virgin Islands","85 km NNE of Cruz Bay, U.S. Virgin Islands",3.83,https://earthquake.usgs.gov/earthquakes/eventpage/pr2025005000
1711,"M 3.8 - 223 km SE of Perryville, Alaska","223 km SE of Perryville, Alaska",3.8,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phbb
1738,"M 3.8 - 156 km S of False Pass, Alaska","156 km S of False Pass, Alaska",3.8,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phax
311,"M 3.8 - 43 km ESE of Punta Cana, Dominican Republic","43 km ESE of Punta Cana, Dominican Republic",3.78,https://earthquake.usgs.gov/earthquakes/eventpage/pr2025008000
76,"M 3.7 - 49 km ESE of Punta Cana, Dominican Republic","49 km ESE of Punta Cana, Dominican Republic",3.73,https://earthquake.usgs.gov/earthquakes/eventpage/pr2025009001
1060,"M 3.7 - 106 km NE of Wailua, Hawaii","106 km NE of Wailua, Hawaii",3.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phyr
742,"M 3.6 - 2 km SE of Palmarejo, Puerto Rico","2 km SE of Palmarejo, Puerto Rico",3.63,https://earthquake.usgs.gov/earthquakes/eventpage/pr2025006000
1478,"M 3.6 - 72 km WNW of Petrolia, CA","72 km WNW of Petrolia, CA",3.6,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112451
1063,"M 3.6 - 80 km N of Rachel, Nevada","80 km N of Rachel, Nevada",3.6,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891410
715,"M 3.6 - 25 km WNW of Susitna, Alaska","25 km WNW of Susitna, Alaska",3.6,https://earthquake.usgs.gov/earthquakes/eventpage/ak025a6euyz
350,"M 3.5 - 87 km SE of Perryville, Alaska","87 km SE of Perryville, Alaska",3.5,https://earthquake.usgs.gov/earthquakes/eventpage/ak025d9nphc
234,"M 3.5 - 29 km SSE of Chignik, Alaska","29 km SSE of Chignik, Alaska",3.5,https://earthquake.usgs.gov/earthquakes/eventpage/ak025dhbjsc
1486,"M 3.5 - 37 km SSE of Boca de Yuma, Dominican Republic","37 km SSE of Boca de Yuma, Dominican Republic",3.5,https://earthquake.usgs.gov/earthquakes/eventpage/pr2025003000
357,"M 3.3 - 21 km NW of Chenega, Alaska","21 km NW of Chenega, Alaska",3.3,https://earthquake.usgs.gov/earthquakes/eventpage/ak025d9jdmm
